Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Previously reported daily cases,Change in daily cases,Cumulative lab-confirmed cases,Previously reported cumulative cases,Change in cumulative cases
England,E92000001,Nation,2020-05-01,95.0,0.0,95.0,122842,120614.0,2228.0
South West,E12000009,Region,2020-05-01,5.0,,,6405,,
South East,E12000008,Region,2020-05-01,11.0,,,17324,,
London,E12000007,Region,2020-05-01,3.0,,,24700,,
East of England,E12000006,Region,2020-05-01,7.0,,,10785,,
West Midlands,E12000005,Region,2020-05-01,10.0,,,13402,,
East Midlands,E12000004,Region,2020-05-01,7.0,,,7004,,
Yorkshire and The Humber,E12000003,Region,2020-05-01,45.0,,,10598,,
North West,E12000002,Region,2020-05-01,2.0,,,19435,,
North East,E12000001,Region,2020-05-01,0.0,,,7941,,
Worcestershire,E10000034,Upper tier local authority,2020-05-01,0.0,,,1161,,
West Sussex,E10000032,Upper tier local authority,2020-05-01,0.0,,,1154,,
Warwickshire,E10000031,Upper tier local authority,2020-05-01,0.0,,,1186,,
Surrey,E10000030,Upper tier local authority,2020-05-01,0.0,,,2588,,
Suffolk,E10000029,Upper tier local authority,2020-05-01,0.0,,,1076,,
Staffordshire,E10000028,Upper tier local authority,2020-05-01,2.0,,,1766,,
Somerset,E10000027,Upper tier local authority,2020-05-01,0.0,,,506,,
Oxfordshire,E10000025,Upper tier local authority,2020-05-01,0.0,,,1561,,
Nottinghamshire,E10000024,Upper tier local authority,2020-05-01,0.0,,,1134,,
North Yorkshire,E10000023,Upper tier local authority,2020-05-01,4.0,,,974,,
Northamptonshire,E10000021,Upper tier local authority,2020-05-01,0.0,,,1047,,
Norfolk,E10000020,Upper tier local authority,2020-05-01,6.0,,,1607,,
Lincolnshire,E10000019,Upper tier local authority,2020-05-01,0.0,,,855,,
Leicestershire,E10000018,Upper tier local authority,2020-05-01,1.0,,,946,,
Lancashire,E10000017,Upper tier local authority,2020-05-01,0.0,,,2824,,
Kent,E10000016,Upper tier local authority,2020-05-01,0.0,,,3379,,
Hertfordshire,E10000015,Upper tier local authority,2020-05-01,0.0,,,2319,,
Hampshire,E10000014,Upper tier local authority,2020-05-01,5.0,,,2827,,
Gloucestershire,E10000013,Upper tier local authority,2020-05-01,0.0,,,1228,,
Essex,E10000012,Upper tier local authority,2020-05-01,1.0,,,2615,,
East Sussex,E10000011,Upper tier local authority,2020-05-01,1.0,,,588,,
Devon,E10000008,Upper tier local authority,2020-05-01,2.0,,,712,,
Derbyshire,E10000007,Upper tier local authority,2020-05-01,4.0,,,1303,,
Cumbria,E10000006,Upper tier local authority,2020-05-01,0.0,,,1914,,
Cambridgeshire,E10000003,Upper tier local authority,2020-05-01,0.0,,,768,,
